fuel,rps_fuel_category,biofuel,carbon_content_tons_per_mmbtu,carbon_content_without_carbon_accounting,carbon_sequestered_tons_per_mmbtu
Bio_Gas,renewable,1,0.00000,0.05306,0.00000
Bio_Gas_CCS,renewable,1,-0.04510,0.05306,0.04510
Bio_Liquid,renewable,1,0.00000,0.07695,0.00000
Bio_Liquid_CCS,renewable,1,-0.06541,0.07695,0.06541
Bio_Solid,renewable,1,0.00000,0.09435,0.00000
Bio_Solid_CCS,renewable,1,-0.08020,0.09435,0.08020
Coal,fossilish,1,0.09552,0.09552,0.00000
Coal_CCS,fossilish,1,0.01433,0.09552,0.08119
DistillateFuelOil,fossilish,1,0.07315,0.07315,0.00000
DistillateFuelOil_CCS,fossilish,1,0.01097,0.07315,0.06218
Gas,fossilish,1,0.05306,0.05306,0.00000
Gas_CCS,fossilish,1,0.00796,0.05306,0.04510
Geothermal,renewable,1,0.00000,0.00000,0.00000
ResidualFuelOil,fossilish,1,0.07880,0.07880,0.00000
ResidualFuelOil_CCS,fossilish,1,0.01182,0.07880,0.06698
Solar,renewable,1,0.00000,0.00000,0.00000
Storage,na,1,0.00000,0.00000,0.00000
Uranium,fossilish,1,0.00000,0.00000,0.00000
Water,fossilish,1,0.00000,0.00000,0.00000
Wind,renewable,1,0.00000,0.00000,0.00000
